Insight_ID,Persona,CreatedDate,TherapeuticArea,DiseaseState,Region_RO,CountryCode,Description
CDO-100001,Clinical,2024-03-30 18:27:02,Oncology,Pancreatic cancer,MEA,AE,"A site coordinator in AE requested additional fatigue data for BI-291984 in Pancreatic cancer. No directional opinion was shared. This is country-level input for the Target Development discussion referenced EGFR mutation as a relevant marker. A comparison was drawn against gemcitabine."
MSI-100001,Medical,2024-09-27 01:46:29,O&L,Type 2 diabetes-related obesity,NAR,CA,"A tumor board lead in CA asked a clarifying question about how BI-334219 performs in diabetes-related obesity, without expressing a strong view either way. The exchange was a maintenance setting discussion focused on weight management outcomes."
MSI-100002,Medical,2025-09-15 20:10:34,Oncology,Pancreatic cancer,EUCAN,NL,"During a field interaction, an MSL field contact expressed skepticism about BI-291984 in Pancreatic cancer populations and requesting head-to-head comparative data. The treatment-naive population discussion referenced DLL3 expression as a biomarker at the Comprehensive Cancer Center."
MSI-100003,Medical,2024-09-26 23:37:27,O&L,NAFLD,EUCAN,FR,"An MSL field contact in FR requested additional nausea data for BI-671290 in NAFLD to complete an internal evaluation; no directional opinion was shared. The discussion highlighted needs specific to a patient subgroup. Meeting took place with Alderbrook University Hospital. A recommendation was made to follow up."
CDO-100002,Clinical,2024-04-24 09:27:10,Oncology,Multiple myeloma,NAR,CA,"A clinical operations lead in CA asked a clarifying question about how BI-847213 performs in myeloma, without expressing a strong view either way. The note concerned an advanced/metastatic setting. A comparison was drawn against tarlatamab."
CDO-100003,Clinical,2024-03-28 23:31:52,Oncology,Non-small cell lung cancer,NAR,US,"A site coordinator in US requested additional peripheral neuropathy data for BI-558721 for internal evaluation; no directional opinion was shared. The conversation focused on combination therapy in advanced setting. A comparison was drawn against nivolumab."
MSI-100004,Medical,2024-08-12 14:22:18,Oncology,Pancreatic cancer,EUCAN,DE,"A site coordinator in DE raised concerns that BI-702158 data on overall response rate may be lagging behind competitor benchmarks in pancreatic cancer. The KOL recommended more real-world evidence to support adoption."
CDO-100004,Clinical,2024-05-19 11:45:33,O&L,Type 2 diabetes-related obesity,MEA,SA,"An investigator in SA expressed enthusiasm about BI-334219 trial design for obesity management. Discussion centered on patient adherence and long-term weight maintenance. Requested additional tolerability data for Gulf region populations."
MSI-100005,Medical,2024-07-08 16:33:41,Oncology,Multiple myeloma,NAR,US,"A hematology KOL at major US cancer center questioned the differentiation of BI-847213 versus existing CAR-T options. Requested clarity on manufacturing timelines and bridging therapy requirements."
CDO-100005,Clinical,2024-06-22 09:15:27,O&L,NAFLD,EUCAN,UK,"A hepatologist in UK advisory board raised concerns about liver enzyme monitoring frequency with BI-671290. Suggested real-world registry data would strengthen the value proposition for NHS adoption."
